rho,phi,yaw_rotation,image_path
8.178631,-90,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_0.png
8.178631,-90,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_-30.png
8.178631,-90,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_30.png
8.178631,-90,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_-45.png
8.178631,-90,45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_45.png
8.178631,-90,-60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_-60.png
8.178631,-90,60,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_60.png
8.178631,-90,-90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_-90.png
8.178631,-90,90,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-90_yaw_90.png
8.178631,-80,0,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_0.png
8.178631,-80,-30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_-30.png
8.178631,-80,30,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_30.png
8.178631,-80,-45,/home/pantheon/ripe_apples_dataset/polar/variable_view/2024-09-23_12-13-54/Screenshot_distance_8_178631_theta_-80_yaw_-45.png
